0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,datetime,Duration,PassedTime,Step,TimeConclusion
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-13 08:40:25,0.0,0.0,1,31.0087
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-29 08:52:27,16.0084,15.0002,2,15.0003
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-29 08:52:34,0.0001,15.0003,3,15.0002
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-02-13 08:52:48,15.0002,31.0087,4,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-13 12:26:04,0.0,0.0,1,30.9822
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-19 09:26:05,5.875,25.1053,2,25.1072
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-19 09:28:50,0.0019,25.1072,3,25.1053
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-02-13 12:00:28,25.1053,30.9822,4,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-13 12:30:37,14.0421,-0.0,1,37.1046
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-27 13:31:18,0.0001,37.0016,2,37.1045
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-27 13:31:24,0.0001,37.0017,3,37.1044
1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2010-01-27 15:59:14,0.1027,37.1044,4,37.0017
1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,2010-01-27 15:59:23,0.0001,37.1045,5,37.0016
1,2,3,2,3,5,0,0,0,0,0,0,0,0,0,2010-02-11 15:59:39,37.0016,37.1046,6,-0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-13 13:09:31,0.0,0.0,1,31.0007
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-26 09:50:48,12.862,18.1386,2,18.1387
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-26 09:50:55,0.0001,18.1387,3,18.1386
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-02-13 13:10:27,18.1386,31.0007,4,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-13 17:25:25,0.0002,0.0,1,30.9835
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-14 11:42:31,0.7617,30.2217,2,30.2218
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-14 11:42:37,0.0001,30.2218,3,30.2217
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-02-13 17:01:54,30.2217,30.9835,4,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-14 09:10:48,0.0002,0.0,1,51.0108
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-20 09:15:20,6.003,45.0003,2,45.0078
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-20 09:26:05,0.0075,45.0078,3,45.0003
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-03-06 09:26:32,45.0003,51.0108,4,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-14 09:52:50,0.0,0.0,1,33.9945
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-02-09 15:01:11,26.2141,0.0001,2,7.7804
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-02-17 09:44:53,7.7803,7.7804,3,0.0001
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-02-17 09:44:59,0.0001,33.9945,4,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-14 10:35:38,0.0002,0.0,1,44.0169
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-02-01 11:43:31,18.0469,15.0002,2,25.97
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-02-12 11:00:01,10.9698,25.97,3,15.0002
1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,2010-02-27 11:00:17,15.0002,44.0169,4,0.0
